,Date,Open,High,Low,Close,Volume
126,20-Jul-17,211.10,211.25,209.92,210.28,2235082
127,19-Jul-17,209.43,210.93,208.99,210.88,2258363
128,18-Jul-17,209.11,209.19,207.53,208.24,1943144
129,17-Jul-17,208.73,209.72,208.56,209.0,2415956
130,14-Jul-17,206.80,208.73,206.74,208.51,3229034
131,13-Jul-17,206.80,207.00,205.35,206.23,1943575
132,12-Jul-17,206.95,208.61,206.32,206.44,2817350
133,11-Jul-17,204.00,206.66,204.00,206.27,2815790
134,10-Jul-17,202.32,204.58,202.19,203.96,2701928
135,7-Jul-17,202.24,203.28,201.26,202.37,3090441
136,6-Jul-17,201.64,202.49,200.78,201.48,2737400
137,5-Jul-17,199.30,202.14,198.86,201.81,2716674
138,3-Jul-17,198.07,199.44,197.75,198.59,1511163
139,30-Jun-17,198.50,199.44,197.39,197.75,2225564
140,29-Jun-17,199.62,199.76,196.45,197.46,2428873
141,28-Jun-17,199.50,200.95,199.30,199.62,2096774
142,27-Jun-17,199.80,200.92,198.89,198.89,2296887
143,26-Jun-17,202.77,204.39,199.94,199.98,3077632
144,23-Jun-17,199.26,202.35,198.68,202.23,4310050
145,22-Jun-17,199.25,200.41,199.18,199.44,3339255
146,21-Jun-17,199.58,199.71,197.56,199.17,3151125
147,20-Jun-17,198.75,201.24,198.31,198.33,3077408
148,19-Jun-17,197.88,199.47,197.00,199.08,2726416
149,16-Jun-17,196.01,197.95,195.81,196.44,6939081
150,15-Jun-17,191.43,195.55,191.37,195.45,2894081
151,14-Jun-17,191.05,193.38,190.82,192.38,2210039
152,13-Jun-17,190.05,191.56,189.35,191.09,1882684
153,12-Jun-17,190.30,190.53,188.05,190.0,2730111
154,9-Jun-17,190.00,190.99,189.25,190.03,3344896
155,8-Jun-17,188.10,191.07,187.70,189.93,2340325
156,7-Jun-17,186.85,188.54,186.39,188.1,2383954
157,6-Jun-17,188.41,188.86,186.68,186.75,2724995
158,5-Jun-17,190.07,190.74,188.81,188.95,2522113
159,2-Jun-17,187.82,191.70,187.65,190.23,3034272
160,1-Jun-17,187.41,187.91,184.53,187.32,2870243
161,31-May-17,187.37,188.26,186.72,187.63,5186677
162,30-May-17,186.76,187.42,186.19,186.88,2231571
163,26-May-17,186.73,187.60,186.27,186.59,1735778
164,25-May-17,185.63,187.42,185.59,187.07,2363329
165,24-May-17,183.46,185.40,183.46,185.25,2425330
166,23-May-17,184.00,184.46,182.86,183.49,2123758
167,22-May-17,183.78,185.32,182.52,183.67,2946750
168,19-May-17,177.73,181.42,176.77,180.76,4038909
169,18-May-17,178.48,178.50,175.47,177.4,3118075
170,17-May-17,181.39,181.52,178.68,178.78,2535741
171,16-May-17,182.73,183.15,182.04,182.7,2156147
172,15-May-17,183.30,184.11,182.28,182.39,3364967
173,12-May-17,183.71,183.98,182.63,183.25,3479223
174,11-May-17,182.90,184.33,182.17,183.94,2883815
175,10-May-17,185.14,185.65,178.18,183.18,7060056
176,9-May-17,186.11,187.20,186.05,186.91,3003956
177,8-May-17,185.38,186.39,185.00,186.02,1963569
178,5-May-17,183.16,185.07,183.16,185.01,2636917
179,4-May-17,183.33,184.25,182.18,183.07,2289326
180,3-May-17,183.45,183.75,182.25,183.39,2983245
181,2-May-17,182.54,183.91,182.53,183.44,1979787
182,1-May-17,184.23,184.48,181.80,182.39,3516749
183,28-Apr-17,183.42,184.93,183.02,184.83,2181592
184,27-Apr-17,182.59,183.76,182.59,183.22,3129075
185,26-Apr-17,182.31,183.00,180.11,181.71,4471593
186,25-Apr-17,182.53,183.85,182.53,183.51,3735370
187,24-Apr-17,181.75,182.46,181.61,182.06,3141913
188,21-Apr-17,179.42,180.93,179.42,180.38,3146556
189,20-Apr-17,178.74,179.82,178.35,179.3,2335176
190,19-Apr-17,178.47,179.90,178.16,178.4,2124533
191,18-Apr-17,178.59,179.97,177.12,177.85,2960165
192,17-Apr-17,175.84,179.08,175.65,179.02,2450222
193,13-Apr-17,175.74,176.88,175.56,175.62,2024086
194,12-Apr-17,178.25,178.25,175.94,176.05,2922725
195,11-Apr-17,177.50,178.60,176.96,178.57,2266280
196,10-Apr-17,179.00,179.97,177.48,177.56,2309273
197,7-Apr-17,178.39,179.09,177.26,178.85,2806866
198,6-Apr-17,177.56,178.22,177.12,177.37,2343873
199,5-Apr-17,179.00,180.18,176.89,177.08,2567212
200,4-Apr-17,176.88,178.79,176.76,178.7,2326494
201,3-Apr-17,177.08,177.73,175.50,176.65,2934818
202,31-Mar-17,178.02,178.18,176.81,176.86,2032749
203,30-Mar-17,177.25,178.49,177.22,177.98,1737221
204,29-Mar-17,177.40,177.99,176.97,177.63,1640601
205,28-Mar-17,176.29,177.68,175.00,177.36,2412559
206,27-Mar-17,174.37,176.44,173.75,176.1,2750685
207,24-Mar-17,176.85,177.53,174.77,175.82,2386809
208,23-Mar-17,177.34,177.85,176.59,177.26,2006383
209,22-Mar-17,175.96,177.10,175.50,176.98,2505738
210,21-Mar-17,179.99,180.25,175.50,175.96,3239579
211,20-Mar-17,180.10,180.15,179.14,179.39,2062211
212,17-Mar-17,178.31,180.38,178.17,180.1,5037385
213,16-Mar-17,179.82,180.00,177.64,178.19,3100744
214,15-Mar-17,179.00,179.24,177.97,178.71,3569047
215,14-Mar-17,178.54,179.69,177.71,178.73,2346666
216,13-Mar-17,177.16,179.19,177.07,179.05,3499021
217,10-Mar-17,181.90,181.97,177.92,178.7,4595621
218,9-Mar-17,181.43,182.59,179.58,180.57,3100466
219,8-Mar-17,182.40,182.69,181.49,181.74,2321738
220,7-Mar-17,180.64,182.84,180.62,182.02,2451990
221,6-Mar-17,181.40,182.30,180.43,180.93,4244029
222,3-Mar-17,183.04,183.58,181.45,182.18,3940363
223,2-Mar-17,184.00,185.71,182.97,182.99,4909023
224,1-Mar-17,181.85,184.80,181.82,183.91,5461751
225,28-Feb-17,180.34,181.93,179.67,180.23,4785145
